age;education;marital-status;occupation;race;income;ID
22;Higher education;Married-civ-spouse;Tech-support;*;<=50K;6558
22;Higher education;Married-civ-spouse;Tech-support;*;<=50K;8740
22;Higher education;Married-civ-spouse;Tech-support;*;<=50K;31646
22;Higher education;Married-civ-spouse;Tech-support;*;<=50K;33866
22;Higher education;Married-civ-spouse;Tech-support;*;<=50K;45381
23;Higher education;Married-civ-spouse;Tech-support;White;>50K;12918
23;Higher education;Married-civ-spouse;Tech-support;White;<=50K;24923
23;Higher education;Married-civ-spouse;Tech-support;White;<=50K;30998
23;Higher education;Married-civ-spouse;Tech-support;White;<=50K;32199
24;Undergraduate;Married-civ-spouse;Tech-support;White;<=50K;14888
24;Undergraduate;Married-civ-spouse;Tech-support;White;<=50K;16324
24;Undergraduate;Married-civ-spouse;Tech-support;White;<=50K;37832
24;Undergraduate;Married-civ-spouse;Tech-support;White;>50K;41991
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;490
20~24;Some-college;Married-civ-spouse;Craft-repair;White;>50K;810
20~24;Some-college;Married-civ-spouse;Craft-repair;White;>50K;3164
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;6006
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;8817
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;12883
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;19657
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;22181
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;23957
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;24527
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;25566
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;26053
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;28753
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;33163
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;35872
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;35979
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;37137
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;37663
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;40145
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;41015
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;44954
20~24;Some-college;Married-civ-spouse;Craft-repair;White;<=50K;46552
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;549
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;3955
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;5382
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;7250
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;12768
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;18125
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;19896
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;30117
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;34179
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;36840
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;37957
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;40204
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;>50K;41423
20~24;Professional Education;Married-civ-spouse;Craft-repair;*;<=50K;44956
20~24;Higher education;spouse present;Prof-specialty;*;>50K;253
20~24;Higher education;spouse present;Prof-specialty;*;>50K;3876
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;4883
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;7114
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;8405
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;8526
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;8803
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;11046
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;12588
20~24;Higher education;spouse present;Prof-specialty;*;>50K;12967
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;14856
20~24;Higher education;spouse present;Prof-specialty;*;>50K;15483
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;15666
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;21033
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;22551
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;23462
20~24;Higher education;spouse present;Prof-specialty;*;<=50K;23586
