age;education;marital-status;occupation;race;income;ID
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;21
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;722
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;915
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;1337
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;4425
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;4856
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;5130
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;5214
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;5367
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;5792
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;6800
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;6878
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;7118
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;7281
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;7551
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;8825
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;8828
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;9003
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;9773
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;9954
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;10062
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;10156
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;10175
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;10278
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;10632
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;10805
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;10964
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;11794
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;11819
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;12010
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;12126
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;12618
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;12715
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;13014
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;13054
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;13070
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;13421
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;14049
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;14746
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;14791
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;15010
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;16067
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;16307
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;16324
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;16476
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;16751
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;16931
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;17021
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;17073
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;17405
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;17475
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;18163
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;18913
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;19056
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;19548
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;19712
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;19782
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;19894
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;21846
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;22592
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;22881
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;22896
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;22959
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;23375
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;23416
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;23981
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;24218
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;24820
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;24923
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;25323
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;25486
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;26596
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;27125
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;27169
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;27530
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;27627
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;28658
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;28730
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;29096
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;29157
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;29859
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;30345
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;30489
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;30492
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;30688
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;30727
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;30879
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;31124
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;31138
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;31297
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;31557
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;31797
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;32710
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;33204
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;33728
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;34074
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;34461
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;34833
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;34947
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;35758
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;36089
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;36570
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;37597
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;37799
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;38268
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;38422
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;38875
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;39343
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;39851
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;40453
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;40478
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;40912
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;41705
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;42273
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;42587
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;42779
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;43034
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;43088
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;43398
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;43431
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;43558
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;43771
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;44255
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;44262
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;44370
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;45338
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;45546
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;45746
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;46385
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;46809
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;47792
*;Bachelors;Married-civ-spouse;Tech-support;*;>50K;48089
*;Bachelors;Married-civ-spouse;Tech-support;*;<=50K;48576
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;237
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;503
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;2405
*;Some-college;Married-civ-spouse;Tech-support;*;>50K;2535
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;2698
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;2803
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;2991
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;3695
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;4122
*;Some-college;Married-civ-spouse;Tech-support;*;>50K;4240
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;4495
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;4780
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;5241
*;Some-college;Married-civ-spouse;Tech-support;*;>50K;5611
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;5716
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;5900
*;Some-college;Married-civ-spouse;Tech-support;*;>50K;5972
*;Some-college;Married-civ-spouse;Tech-support;*;>50K;6073
*;Some-college;Married-civ-spouse;Tech-support;*;<=50K;6558
