age;education;marital-status;occupation;race;income
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;Never-married;Tech-support;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;*;Craft-repair;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;>50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;Never-married;Prof-specialty;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
15~19;Higher education;*;Machine-op-inspct;*;<=50K
