1;0~4;0~10;0~20;*
2;0~4;0~10;0~20;*
3;0~4;0~10;0~20;*
4;0~4;0~10;0~20;*
5;5~9;0~10;0~20;*
6;5~9;0~10;0~20;*
7;5~9;0~10;0~20;*
8;5~9;0~10;0~20;*
9;5~9;0~10;0~20;*
10;10~14;0~10;0~20;*
11;10~14;11~20;0~20;*
12;10~14;11~20;0~20;*
13;10~14;11~20;0~20;*
14;10~14;11~20;0~20;*
15;15~19;11~20;0~20;*
16;15~19;11~20;0~20;*
17;15~19;11~20;0~20;*
18;15~19;11~20;0~20;*
19;15~19;11~20;0~20;*
20;20~24;11~20;0~20;*
21;20~24;21~30;21~40;*
22;20~24;21~30;21~40;*
23;20~24;21~30;21~40;*
24;20~24;21~30;21~40;*
25;25~29;21~30;21~40;*
26;25~29;21~30;21~40;*
27;25~29;21~30;21~40;*
28;25~29;21~30;21~40;*
29;25~29;21~30;21~40;*
30;30~34;21~30;21~40;*
31;30~34;31~40;21~40;*
32;30~34;31~40;21~40;*
33;30~34;31~40;21~40;*
34;30~34;31~40;21~40;*
35;35~39;31~40;21~40;*
36;35~39;31~40;21~40;*
37;35~39;31~40;21~40;*
38;35~39;31~40;21~40;*
39;35~39;31~40;21~40;*
40;40~44;31~40;21~40;*
41;40~44;41~50;41~60;*
42;40~44;41~50;41~60;*
43;40~44;41~50;41~60;*
44;40~44;41~50;41~60;*
45;45~49;41~50;41~60;*
46;45~49;41~50;41~60;*
47;45~49;41~50;41~60;*
48;45~49;41~50;41~60;*
49;45~49;41~50;41~60;*
50;50~54;41~50;41~60;*
51;50~54;51~60;41~60;*
52;50~54;51~60;41~60;*
53;50~54;51~60;41~60;*
54;50~54;51~60;41~60;*
55;55~59;51~60;41~60;*
56;55~59;51~60;41~60;*
57;55~59;51~60;41~60;*
58;55~59;51~60;41~60;*
59;55~59;51~60;41~60;*
60;60~64;51~60;41~60;*
61;60~64;61~70;61~80;*
62;60~64;61~70;61~80;*
63;60~64;61~70;61~80;*
64;60~64;61~70;61~80;*
65;65~69;61~70;61~80;*
66;65~69;61~70;61~80;*
67;65~69;61~70;61~80;*
68;65~69;61~70;61~80;*
69;65~69;61~70;61~80;*
70;70~74;61~70;61~80;*
71;70~74;71~80;61~80;*
72;70~74;71~80;61~80;*
73;70~74;71~80;61~80;*
74;70~74;71~80;61~80;*
75;75~79;71~80;61~80;*
76;75~79;71~80;61~80;*
77;75~79;71~80;61~80;*
78;75~79;71~80;61~80;*
79;75~79;71~80;61~80;*
80;80~84;71~80;61~80;*
81;80~84;81~90;81~100;*
82;80~84;81~90;81~100;*
83;80~84;81~90;81~100;*
84;80~84;81~90;81~100;*
85;85~89;81~90;81~100;*
86;85~89;81~90;81~100;*
87;85~89;81~90;81~100;*
88;85~89;81~90;81~100;*
89;85~89;81~90;81~100;*
90;90~94;81~90;81~100;*
91;90~94;91~100;81~100;*
92;90~94;91~100;81~100;*
93;90~94;91~100;81~100;*
94;90~94;91~100;81~100;*
95;95~100;91~100;81~100;*
96;95~100;91~100;81~100;*
97;95~100;91~100;81~100;*
98;95~100;91~100;81~100;*
99;95~100;91~100;81~100;*
100;95~100;91~100;81~100;*
